meanRT,RT10prctile,Accuracy,Condition,SubjectID,Subjects_session,Unique_Session,N200amplitudes,N200latencies,RemoveN200,minBETAamplitudes,minBETAlatencies,RemoveminBETA,P300amplitudes,P300latencies,RemoveP300,minRPamplitudes,minRPlatencies,RemoveminRP
0.60925,0.42314,0.58974,5,156,1,27,-0.11738,0.21582,0,-0.13417,0.48313,0,0.038417,0.50195,0,-0.094036,0.25487,0
0.69416,0.49131,0.60526,6,156,1,27,-0.090664,0.20605,0,-0.1001,0.2634,0,0.053601,0.51074,0,-0.056902,0.46972,0
0.52434,0.38037,0.64286,1,156,2,28,-0.26683,0.20703,0,0.14621,0.47824,0,0.05626,0.49902,0,-0.023657,0.31347,0
0.54473,0.39648,0.44,2,156,2,28,-0.086568,0.20508,0,0.10361,0.31223,0,0.0064168,0.27539,1,-0.0418,0.20898,0
0.57676,0.35693,0.5,3,156,2,28,-0.12692,0.19922,0,-0.25019,0.45871,0,0.022021,0.50293,0,-0.066051,0.21288,0
0.4351,0.3625,0.5,4,156,2,28,-0.18334,0.17578,0,-0.11676,0.42453,0,0.088066,0.27539,1,-0.053452,0.019527,0
0.45475,0.36318,0.5,5,156,2,28,0.013025,0.20117,0,0.28684,0.59543,1,0.045585,0.31152,0,-0.040583,0.20605,0
0.54211,0.37461,0.63636,6,156,2,28,0.21309,0.19629,0,-0.035757,0.59543,1,0.060903,0.56934,0,-0.056548,0.24706,0
0.48198,0.39941,0.68,1,157,1,29,-0.1174,0.20703,0,0.24216,0.47336,0,0.031474,0.56055,0,-0.045458,0.016597,0
0.60593,0.47021,0.7,2,157,1,29,-0.12166,0.21582,0,-0.058611,0.2927,0,0.018235,0.54395,0,-0.092257,0.051753,0
0.61335,0.46191,0.7375,3,157,1,29,-0.12545,0.21191,0,-0.13597,0.31711,0,0.039774,0.61621,0,-0.093586,0.34667,0
0.45772,0.36543,0.70312,4,157,1,29,-0.093306,0.21094,0,-0.098713,0.31711,0,0.085997,0.50293,0,-0.0029848,0.073237,0
0.60347,0.44727,0.6875,5,157,1,29,-0.10069,0.21777,0,-0.14762,0.2048,1,0.090523,0.51172,0,-0.073084,0.00097264,1
0.62654,0.48633,0.7875,6,157,1,29,-0.14594,0.20117,0,-0.27501,0.20969,0,0.071472,0.54492,0,-0.1504,0.083979,0
0.51455,0.4126,0.725,1,157,2,30,-0.12239,0.20215,0,-0.16787,0.30734,0,0.074284,0.36133,0,-0.075719,0.28612,0
0.5842,0.46875,0.875,2,157,2,30,-0.10748,0.20508,0,-0.064727,0.2048,1,0.10232,0.3916,0,-0.054707,0.33886,0
0.64559,0.50781,0.9,3,157,2,30,-0.11359,0.21094,0,-0.25596,0.22434,0,0.048391,0.36914,0,-0.063836,0.19824,0
0.48771,0.38555,0.67089,4,157,2,30,-0.1306,0.19727,0,0.22891,0.39523,0,0.067452,0.35645,0,-0.098143,0.2246,0
